# Data from Open Admin Data (https://openadmindata.org/bt/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/bhutan-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.dzongkhag,children_count.gewog,zip_codes,geo.lat,geo.lon,source_url
BT001,1,རྫོང་ཁག,District,བུམ་ཐང་,Bumthang,bumthang-bt001,BT001,,,,,,4,,27.708,90.769,https://openadmindata.org/bt/dzongkhags/bumthang-bt001/
BT002,1,རྫོང་ཁག,District,ཆུ་ཁ,Chhukha,chhukha-bt002,BT002,,,,,,11,,27.016,89.544,https://openadmindata.org/bt/dzongkhags/chhukha-bt002/
BT003,1,རྫོང་ཁག,District,དར་དཀར་ན་,Dagana,dagana-bt003,BT003,,,,,,14,,26.991,89.924,https://openadmindata.org/bt/dzongkhags/dagana-bt003/
BT004,1,རྫོང་ཁག,District,མགར་ས་,Gasa,gasa-bt004,BT004,,,,,,4,,27.986,89.861,https://openadmindata.org/bt/dzongkhags/gasa-bt004/
BT005,1,རྫོང་ཁག,District,ཧཱ་,Haa,haa-bt005,BT005,,,,,,6,,27.323,89.191,https://openadmindata.org/bt/dzongkhags/haa-bt005/
BT006,1,རྫོང་ཁག,District,ལྷུན་རྩེ,Lhuentse,lhuentse-bt006,BT006,,,,,,8,,27.732,91.135,https://openadmindata.org/bt/dzongkhags/lhuentse-bt006/
BT007,1,རྫོང་ཁག,District,མོང་སྒར,Monggar,monggar-bt007,BT007,,,,,,17,,27.269,91.212,https://openadmindata.org/bt/dzongkhags/monggar-bt007/
BT008,1,རྫོང་ཁག,District,སྤ་རོ་,Paro,paro-bt008,BT008,,,,,,10,,27.487,89.373,https://openadmindata.org/bt/dzongkhags/paro-bt008/
BT009,1,རྫོང་ཁག,District,པདྨ་དགའ་ཚལ་,Pemagatshel,pemagatshel-bt009,BT009,,,,,,11,,26.981,91.318,https://openadmindata.org/bt/dzongkhags/pemagatshel-bt009/
BT010,1,རྫོང་ཁག,District,སྤུ་ན་ཁ་,Punakha,punakha-bt010,BT010,,,,,,11,,27.665,89.859,https://openadmindata.org/bt/dzongkhags/punakha-bt010/
BT011,1,རྫོང་ཁག,District,བསམ་གྲུབ་ལྗོངས་མཁར,Samdrupjongkhar,samdrupjongkhar-bt011,BT011,,,,,,11,,27.021,91.801,https://openadmindata.org/bt/dzongkhags/samdrupjongkhar-bt011/
BT012,1,རྫོང་ཁག,District,བསམ་རྩེ་,Samtse,samtse-bt012,BT012,,,,,,15,,27.042,88.99,https://openadmindata.org/bt/dzongkhags/samtse-bt012/
BT013,1,རྫོང་ཁག,District,གསར་སྤང་,Sarpang,sarpang-bt013,BT013,,,,,,12,,26.976,90.452,https://openadmindata.org/bt/dzongkhags/sarpang-bt013/
BT014,1,རྫོང་ཁག,District,ཐིམ་ཕུ་,Thimphu,thimphu-bt014,BT014,,,,,,8,,27.573,89.583,https://openadmindata.org/bt/dzongkhags/thimphu-bt014/
BT015,1,རྫོང་ཁག,District,བཀྲིས་སྒང་,Trashigang,trashigang-bt015,BT015,,,,,,15,,27.251,91.735,https://openadmindata.org/bt/dzongkhags/trashigang-bt015/
BT016,1,རྫོང་ཁག,District,བཀྲིས་གཡང་རྩེ,Yangtse,yangtse-bt016,BT016,,,,,,8,,27.678,91.472,https://openadmindata.org/bt/dzongkhags/yangtse-bt016/
BT017,1,རྫོང་ཁག,District,ཀྲོང་གསར་,Trongsa,trongsa-bt017,BT017,,,,,,5,,27.463,90.43,https://openadmindata.org/bt/dzongkhags/trongsa-bt017/
BT018,1,རྫོང་ཁག,District,རྩི་རང་,Tsirang,tsirang-bt018,BT018,,,,,,12,,27.005,90.156,https://openadmindata.org/bt/dzongkhags/tsirang-bt018/
BT019,1,རྫོང་ཁག,District,དབང་འདུས་ཕོ་བྲང,Wangduephodrang,wangduephodrang-bt019,BT019,,,,,,15,,27.583,90.154,https://openadmindata.org/bt/dzongkhags/wangduephodrang-bt019/
BT020,1,རྫོང་ཁག,District,གཞལམ་སྒང་,Zhemgang,zhemgang-bt020,BT020,,,,,,8,,27.082,90.842,https://openadmindata.org/bt/dzongkhags/zhemgang-bt020/
